date,bucket,count
2012-09,77,8
2012-09,78,5
2012-09,79,5
2012-09,80,2
2012-09,81,3
2012-09,82,3
2012-09,83,4
2012-09,84,5
2012-09,85,5
2012-09,86,6
2012-09,87,2
2012-09,88,4
2012-09,89,7
2012-09,90,3
2012-09,91,4
2012-09,92,1
2012-09,93,1
2012-09,94,2
2012-09,95,3
2012-09,96,2
2012-09,97,2
2012-09,98,3
2012-09,99,3
2012-09,100,96
2012-10,0,579
2012-10,1,1193
2012-10,2,410
2012-10,3,42
2012-10,4,6
2012-10,5,41
2012-10,6,33
2012-10,7,13
2012-10,8,33
2012-10,9,61
2012-10,10,105
2012-10,11,1016
2012-10,12,3992
2012-10,13,6537
2012-10,14,5594
2012-10,15,4241
2012-10,16,3324
2012-10,17,2795
2012-10,18,2547
2012-10,19,2261
2012-10,20,1837
2012-10,21,1462
2012-10,22,1208
2012-10,23,995
2012-10,24,787
2012-10,25,561
2012-10,26,452
2012-10,27,352
2012-10,28,269
2012-10,29,230
2012-10,30,184
2012-10,31,121
2012-10,32,108
2012-10,33,95
2012-10,34,86
2012-10,35,75
2012-10,36,60
2012-10,37,68
2012-10,38,55
2012-10,39,50
2012-10,40,42
2012-10,41,32
2012-10,42,29
2012-10,43,34
2012-10,44,21
2012-10,45,22
2012-10,46,14
2012-10,47,13
2012-10,48,18
2012-10,49,22
2012-10,50,18
2012-10,51,10
2012-10,52,14
2012-10,53,9
2012-10,54,14
2012-10,55,11
2012-10,56,8
2012-10,57,8
2012-10,58,8
2012-10,59,4
2012-10,60,6
2012-10,61,4
2012-10,62,8
2012-10,63,6
2012-10,64,9
2012-10,65,5
2012-10,66,6
2012-10,67,9
2012-10,68,3
2012-10,70,1
2012-10,71,6
2012-10,72,4
2012-10,73,3
2012-10,74,7
2012-10,75,6
2012-10,76,3
2012-10,77,5
2012-10,78,4
2012-10,80,5
2012-10,81,3
2012-10,83,8
2012-10,84,4
2012-10,85,5
2012-10,86,1
2012-10,87,2
2012-10,88,2
2012-10,89,4
2012-10,90,5
2012-10,91,2
2012-10,92,2
2012-10,93,2
2012-10,95,4
2012-10,96,1
2012-10,97,2
2012-10,98,1
2012-10,99,4
2012-10,100,54
2012-11,0,250
2012-11,1,813
2012-11,2,399
2012-11,3,15
2012-11,4,1
2012-11,5,40
2012-11,6,11
2012-11,7,15
2012-11,8,15
2012-11,9,51
2012-11,10,96
2012-11,11,643
2012-11,12,3301
2012-11,13,5299
2012-11,14,4299
2012-11,15,2933
2012-11,16,2348
2012-11,17,1961
2012-11,18,1674
2012-11,19,1399
2012-11,20,1227
2012-11,21,1091
2012-11,22,911
2012-11,23,662
2012-11,24,525
2012-11,25,391
2012-11,26,275
2012-11,27,227
2012-11,28,187
2012-11,29,137
2012-11,30,96
2012-11,31,111
2012-11,32,79
2012-11,33,79
2012-11,34,55
2012-11,35,55
2012-11,36,42
2012-11,37,29
2012-11,38,34
2012-11,39,30
2012-11,40,30
2012-11,41,17
2012-11,42,19
2012-11,43,19
2012-11,44,19
2012-11,45,13
2012-11,46,14
2012-11,47,8
2012-11,48,15
2012-11,49,10
2012-11,50,5
2012-11,51,8
2012-11,52,4
2012-11,53,4
2012-11,54,5
2012-11,55,4
2012-11,56,5
2012-11,57,4
2012-11,58,4
2012-11,59,3
2012-11,60,1
2012-11,61,4
2012-11,62,5
2012-11,63,1
2012-11,64,7
2012-11,65,1
2012-11,66,2
2012-11,67,1
2012-11,68,3
2012-11,69,1
2012-11,70,4
2012-11,71,3
2012-11,73,2
2012-11,74,4
2012-11,75,3
2012-11,76,3
2012-11,77,2
2012-11,78,2
2012-11,79,2
2012-11,80,3
2012-11,82,1
2012-11,88,2
2012-11,90,1
